City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2235,Kuala Terengganu,MY,77.0,moderate rain,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
2245,Sorong,ID,84.47,overcast clouds,-0.88,131.25,The Waigo Hotel
2251,Manggar,ID,84.7,broken clouds,-2.88,108.27,Guest Hotel
2252,Monrovia,LR,77.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
2254,Airai,TL,79.72,broken clouds,-8.93,125.41,Juvinal Martin
2261,Esperance,AU,84.2,scattered clouds,-33.87,121.9,Hospitality Esperance
2264,Lakatoro,VU,82.4,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
2270,Harper,LR,78.37,light rain,4.38,-7.72,Screensaver
2285,Abu Dhabi,AE,77.0,clear sky,24.47,54.37,Beach Rotana
2287,Cayenne,GF,80.6,few clouds,4.93,-52.33,Hôtel Le Dronmi
2292,Beira,MZ,75.65,overcast clouds,-19.84,34.84,Beira Terrace Hotel
2300,The Valley,AI,80.6,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
2301,Cabo San Lucas,MX,80.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
2304,Poum,NC,76.1,scattered clouds,-20.23,164.02,Gîte kajeon
2319,Belmonte,BR,75.2,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
2320,Kalianget,ID,86.25,broken clouds,-7.05,113.93,Pesanggrahan Garam
2321,Yulara,AU,89.6,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
2326,New Norfolk,AU,75.0,clear sky,-42.78,147.06,The Shingles Riverside Cottages
2328,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
2329,Chokwe,MZ,78.64,clear sky,-24.53,32.98,Complexo Sonho Real
2334,Surubim,BR,75.2,scattered clouds,-7.83,-35.75,Cristal Hotel
2342,Noumea,NC,78.8,few clouds,-22.28,166.46,Hôtel Le Lagon
2348,Padang,ID,83.21,broken clouds,-0.95,100.35,Mercure Padang
2353,May Pen,JM,80.6,thunderstorm,17.96,-77.25,Mus Com Bac
2355,Waingapu,ID,89.91,scattered clouds,-9.66,120.26,Pondok Wisata Elim
2356,Bidor,MY,77.0,moderate rain,4.11,101.29,Hotel Bidor mk
2358,Dhidhdhoo,MV,82.99,light rain,6.88,73.1,Dhidhoo beach
2366,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
2371,Kattivakkam,IN,77.0,mist,13.22,80.32,St. Joseph Thirumana mandapam
2380,Maceio,BR,77.0,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
2386,Alofi,NU,82.4,broken clouds,-19.06,-169.92,Taloa Heights
