City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Tuktoyaktuk,CA,2020-11-04 02:40:01,69.45,-133.04,12.2,85,90,9.17
221,Monster,NL,2020-11-04 02:40:01,52.03,4.17,50.0,77,4,11.01
222,Yaan,NG,2020-11-04 02:40:01,7.38,8.57,74.12,82,93,2.86
223,Port Hawkesbury,CA,2020-11-04 02:40:01,45.62,-61.35,32.0,80,90,11.41
224,Livingstone,ZM,2020-11-04 02:40:02,-17.84,25.85,66.47,80,100,3.58
225,Leh,IN,2020-11-04 02:40:02,34.17,77.58,31.37,69,76,2.1
226,Namibe,AO,2020-11-04 02:40:02,-15.2,12.15,67.86,69,0,9.48
227,Yuanping,CN,2020-11-04 02:40:02,38.72,112.76,49.3,41,0,2.73
228,Khor,RU,2020-11-04 02:40:02,47.89,134.95,28.27,77,0,18.99
229,Lahij,YE,2020-11-04 02:40:03,13.17,44.58,68.52,87,11,3.6
230,Carnarvon,AU,2020-11-04 02:40:03,-24.87,113.63,86.0,27,0,14.99
231,Peterhead,GB,2020-11-04 02:40:03,57.51,-1.8,48.0,81,97,13.87
232,Mao,ES,2020-11-04 02:40:03,39.89,4.27,60.8,82,98,11.41
233,Ketchikan,US,2020-11-04 02:35:13,55.34,-131.65,42.8,74,90,5.17
234,Manta,EC,2020-11-04 02:40:04,-0.95,-80.73,73.4,83,20,10.29
235,Karratha,AU,2020-11-04 02:40:04,-20.74,116.85,91.45,30,0,7.87
236,Hastings,GB,2020-11-04 02:40:04,50.86,0.57,41.0,81,4,1.01
237,Gao,ML,2020-11-04 02:39:03,16.64,1.64,78.28,18,100,8.79
238,Shu,KZ,2020-11-04 02:40:04,43.6,73.76,43.57,55,57,1.92
239,Sao Joao Da Barra,BR,2020-11-04 02:40:05,-21.64,-41.05,70.86,74,57,13.56
240,Leningradskiy,RU,2020-11-04 02:40:05,69.38,178.42,4.39,84,15,12.39
241,Nadym,RU,2020-11-04 02:40:05,65.53,72.52,27.46,99,100,6.46
242,Klaksvik,FO,2020-11-04 02:40:05,62.23,-6.59,44.6,65,90,32.21
243,Balasheyka,RU,2020-11-04 02:40:05,53.28,48.09,38.08,78,1,2.91
244,Tucuman,AR,2020-11-04 02:39:31,-26.82,-65.22,80.6,28,0,10.29
245,Nakhon Sawan,TH,2020-11-04 02:40:06,15.7,100.08,80.73,72,7,7.38
246,Cidreira,BR,2020-11-04 02:40:06,-30.18,-50.21,61.11,78,1,11.65
247,Rawson,AR,2020-11-04 02:40:06,-43.3,-65.1,64.98,58,88,10.42
248,Panzhihua,CN,2020-11-04 02:40:06,26.59,101.71,69.15,55,71,0.47
249,Kikwit,CD,2020-11-04 02:40:06,-5.04,18.82,70.56,98,100,0.31
250,Gorno-Altaysk,RU,2020-11-04 02:40:06,51.96,85.95,28.72,92,100,5.61
251,Walvis Bay,NA,2020-11-04 02:40:06,-22.96,14.51,57.99,93,0,4.7
252,Ostersund,SE,2020-11-04 02:40:06,63.18,14.64,39.2,69,96,11.41
253,Csany,HU,2020-11-04 02:40:07,47.65,19.83,51.8,93,90,2.24
254,Kautokeino,NO,2020-11-04 02:40:07,69.01,23.04,31.37,95,0,17.22
255,Russell,US,2020-11-04 02:40:07,32.35,-85.2,51.8,87,1,2.98
256,Katerero,TZ,2020-11-04 02:40:07,-1.4,31.73,64.06,89,72,4.61
257,Noumea,NC,2020-11-04 02:40:07,-22.28,166.46,82.4,58,0,6.93
258,Tuatapere,NZ,2020-11-04 02:40:07,-46.13,167.68,70.0,61,19,13.0
259,Kovdor,RU,2020-11-04 02:40:08,67.57,30.48,32.86,96,100,6.96
260,Mahebourg,MU,2020-11-04 02:40:08,-20.41,57.7,69.8,73,40,9.17
261,Ballina,AU,2020-11-04 02:40:08,-28.87,153.57,81.0,56,0,10.29
262,Marsh Harbour,BS,2020-11-04 02:35:14,26.54,-77.06,73.69,72,37,23.87
263,Elbistan,TR,2020-11-04 02:40:08,38.21,37.2,50.9,80,100,3.0
264,Andrushivka,UA,2020-11-04 02:38:27,50.02,29.02,41.09,90,0,3.67
265,Alofi,NU,2020-11-04 02:39:42,-19.06,-169.92,80.6,69,75,23.04
266,Ribeira Grande,PT,2020-11-04 02:40:09,38.52,-28.7,61.99,66,69,11.77
267,Dire Dawa,ET,2020-11-04 02:40:09,9.59,41.87,58.69,59,0,2.28
268,Bengkulu,ID,2020-11-04 02:40:09,-3.8,102.27,83.37,66,76,3.02
269,Dukat,RU,2020-11-04 02:40:09,62.55,155.55,13.84,96,100,7.31
270,Avarua,CK,2020-11-04 02:35:38,-21.21,-159.78,75.2,83,100,6.93
271,Port Hedland,AU,2020-11-04 02:40:09,-20.32,118.57,93.2,44,0,11.41
272,Cockburn Town,TC,2020-11-04 02:40:09,21.46,-71.14,81.68,78,100,17.69
273,Valenca,BR,2020-11-04 02:36:19,-13.37,-39.07,70.57,89,100,5.28
274,Faanui,PF,2020-11-04 02:40:10,-16.48,-151.75,79.59,81,100,18.3
275,Itaituba,BR,2020-11-04 02:40:10,-4.28,-55.98,76.59,90,90,0.83
276,Whithorn,JM,2020-11-04 02:40:10,18.26,-78.04,78.8,88,75,6.93
277,Safranbolu,TR,2020-11-04 02:40:10,41.25,32.69,44.49,80,54,1.14
278,Zambrano,CO,2020-11-04 02:40:10,9.75,-74.82,75.16,91,94,3.87
